tai100_10_1,tai100_20_1,tai100_5_1,tai20_10_1,tai20_20_1,tai20_5_1,tai50_10_1,tai50_20_1,tai50_5_1
6471,7522,5785,1609,2357,1297,3296,4269,2753
6788,7513,5782,1612,2353,1297,3233,4254,2760
6665,7465,5915,1675,2383,1297,3305,4214,2758
6524,7452,5596,1617,2348,1297,3281,4251,2801
6945,7193,5994,1654,2386,1297,3289,4292,2774
6910,7385,5896,1658,2361,1297,3311,4274,2745
6758,7406,5866,1618,2370,1297,3294,4336,2758
6497,7540,5854,1634,2363,1297,3327,4251,2741
6743,7477,6068,1620,2354,1305,3310,4287,2774
6805,7515,5820,1697,2391,1297,3377,4320,2782
6577,7423,5810,1681,2374,1297,3249,4300,2774
6643,7478,5648,1608,2354,1297,3308,4242,2758
6632,7466,5981,1619,2472,1324,3324,4215,2752
6616,7384,5804,1635,2358,1339,3224,4339,2767
6524,7492,5724,1625,2376,1297,3268,4384,2774
6636,7551,5978,1611,2409,1324,3287,4281,2774
6791,7605,5741,1626,2370,1297,3311,4236,2774
6607,7579,5780,1611,2342,1297,3337,4293,2752
6640,7593,5776,1614,2350,1297,3264,4293,2816
6605,7650,5801,1635,2347,1297,3361,4312,2752
6668.85,7484.45,5830.95,1632.95,2370.9,1302.2,3297.8,4282.15,2766.95
6471,7193,5596,1608,2342,1297,3224,4214,2741
6945,7650,6068,1697,2472,1339,3377,4384,2816
